network,strategy,null_model,fraction_removed,lcc_real,lcc_null,delta,delta_std
AS Internet,random failure,ER,0.0,1.0,0.9835988753514529,0.01640112464854715,1.1102230246251563e-16
AS Internet,random failure,ER,0.0099343955014058,0.9878069353327088,0.972970946579194,0.014835988753514773,0.0011981231811530116
AS Internet,random failure,ER,0.019962511715089,0.9727272727272728,0.962169634489222,0.010557638238050782,0.008440551815569141
AS Internet,random failure,ER,0.0299906279287722,0.9602764761012184,0.9514667291471414,0.008809746954076991,0.008725068623304653
AS Internet,random failure,ER,0.039925023430178,0.9472071227741332,0.940796626054358,0.006410496719775227,0.008487144032713055
AS Internet,random failure,ER,0.0499531396438612,0.9345407685098406,0.9301358950328024,0.004404873477038218,0.00879542545663339
AS Internet,random failure,ER,0.0599812558575445,0.9216869728209934,0.919348641049672,0.002338331771321478,0.009586115977053883
AS Internet,random failure,ER,0.0699156513589503,0.9084254920337392,0.9087488284910966,-0.0003233364573573816,0.010675285902439888
AS Internet,random failure,ER,0.0799437675726335,0.8961105904404875,0.8978256794751639,-0.0017150890346764314,0.010335108647665448
AS Internet,random failure,ER,0.0899718837863167,0.8810918462980318,0.8870852858481724,-0.0059934395501405335,0.01349381282485902
AS Internet,random failure,ER,0.1,0.8665745079662607,0.8763261480787256,-0.009751640112464877,0.014808011192451065
AS Internet,random failure,ER,0.1099343955014058,0.8536457357075914,0.8655904404873478,-0.011944704779756399,0.015210778487953111
AS Internet,random failure,ER,0.119962511715089,0.8367619493908153,0.8546063730084349,-0.01784442361761962,0.01551442010371724
AS Internet,random failure,ER,0.1299906279287722,0.8235754451733832,0.8435941893158387,-0.020018744142455525,0.016415919154116772
AS Internet,random failure,ER,0.139925023430178,0.8108294283036553,0.8326897844423617,-0.021860356138706405,0.017134726790237767
AS Internet,random failure,ER,0.1499531396438612,0.7949531396438612,0.821771321462043,-0.026818181818181852,0.02064744876554315
AS Internet,random failure,ER,0.1599812558575445,0.7816401124648545,0.8105670103092784,-0.028926897844423816,0.020850673832257624
AS Internet,random failure,ER,0.1699156513589503,0.763041237113402,0.7995641986879102,-0.036522961574508184,0.023104171529303476
AS Internet,random failure,ER,0.1799437675726335,0.7502343017806935,0.7883458294283037,-0.038111527647610166,0.023390599655350182
AS Internet,random failure,ER,0.1899718837863167,0.7377694470477975,0.7773289597000935,-0.03955951265229607,0.022840487489222423
AS Internet,random failure,ER,0.2,0.7245501405810686,0.7661996251171509,-0.041649484536082304,0.023076729584157504
AS Internet,random failure,ER,0.2099343955014058,0.7119728209934395,0.7551265229615745,-0.04315370196813495,0.022201277067718943
AS Internet,random failure,ER,0.219962511715089,0.698622305529522,0.7438612933458295,-0.04523898781630753,0.021817310214251154
AS Internet,random failure,ER,0.2299906279287722,0.6830552952202436,0.7328116213683223,-0.04975632614807879,0.02337555958169259
AS Internet,random failure,ER,0.239925023430178,0.668261480787254,0.7214995313964387,-0.05323805060918474,0.02359847104249395
AS Internet,random failure,ER,0.2499531396438613,0.6552764761012184,0.7100093720712275,-0.05473289597000908,0.023760191350851747
AS Internet,random failure,ER,0.2599812558575445,0.6402764761012184,0.6985801312089971,-0.058303655107778685,0.026050753056113058
AS Internet,random failure,ER,0.2699156513589503,0.62883786316776,0.6871696344892222,-0.05833177132146217,0.02638728249291607
AS Internet,random failure,ER,0.2799437675726335,0.6164526710402999,0.6755623242736646,-0.0591096532333647,0.027600874673325778
AS Internet,random failure,ER,0.2899718837863168,0.6044704779756327,0.6641049671977506,-0.05963448922211789,0.02656908802286952
AS Internet,random failure,ER,0.3,0.5927647610121836,0.6525070290534207,-0.05974226804123717,0.026653427040379554
AS Internet,random failure,ER,0.3099343955014058,0.57985473289597,0.6408856607310215,-0.061030927835051485,0.0267852475791029
AS Internet,random failure,ER,0.319962511715089,0.5683083411433926,0.6293064667291473,-0.06099812558575468,0.026341829282924185
AS Internet,random failure,ER,0.3299906279287722,0.5537253983130273,0.6175257731958763,-0.06380037488284906,0.02919994907388849
AS Internet,random failure,ER,0.339925023430178,0.5387394564198688,0.6058106841611995,-0.06707122774133079,0.03531523132167813
AS Internet,random failure,ER,0.3499531396438612,0.52558106841612,0.593655107778819,-0.06807403936269907,0.03472428371122295
AS Internet,random failure,ER,0.3599812558575445,0.514892221180881,0.5818556701030929,-0.06696344892221195,0.03421552216050942
AS Internet,random failure,ER,0.3699156513589503,0.5032146204311153,0.5698687910028117,-0.06665417057169643,0.034360952952004094
AS Internet,random failure,ER,0.3799437675726335,0.4903608247422681,0.55796626054358,-0.0676054358013119,0.03450009219873968
AS Internet,random failure,ER,0.3899718837863167,0.4769306466729148,0.5459559512652297,-0.06902530459231487,0.03309074566056737
AS Internet,random failure,ER,0.4,0.4599812558575444,0.5337769447047798,-0.07379568884723536,0.035481768017853736
AS Internet,random failure,ER,0.4099343955014058,0.4427741330834115,0.5214432989690723,-0.07866916588566075,0.03796918587745339
AS Internet,random failure,ER,0.419962511715089,0.4321649484536083,0.5090627928772259,-0.07689784442361758,0.038560495006789874
AS Internet,random failure,ER,0.4299906279287722,0.4193908153701968,0.4962699156513589,-0.07687910028116213,0.03731164452983021
AS Internet,random failure,ER,0.4399250234301781,0.4074320524835988,0.4840346766635426,-0.07660262417994379,0.037835857983980724
AS Internet,random failure,ER,0.4499531396438613,0.3953139643861293,0.4716682286785379,-0.0763542642924086,0.037910579546801965
AS Internet,random failure,ER,0.4599812558575445,0.3821790065604498,0.4591893158388003,-0.07701030927835051,0.037275800699922895
AS Internet,random failure,ER,0.4699156513589503,0.3714339268978444,0.4466963448922211,-0.07526241799437672,0.036425136582471006
AS Internet,random failure,ER,0.4799437675726336,0.3613823805060918,0.4337066541705718,-0.07232427366448002,0.03512350153892427
AS Internet,random failure,ER,0.4899718837863168,0.3507450796626055,0.4209231490159325,-0.07017806935332699,0.03472732880182634
AS Internet,random failure,ER,0.5,0.3332286785379569,0.4070946579194001,-0.07386597938144318,0.03221570349202733
AS Internet,random failure,ER,0.5099343955014058,0.3193955014058106,0.3937160262417994,-0.07432052483598883,0.037429580911260765
AS Internet,random failure,ER,0.519962511715089,0.308223992502343,0.3797750702905342,-0.0715510777881912,0.03685983874098295
AS Internet,random failure,ER,0.5299906279287723,0.2981396438612934,0.3660918462980319,-0.0679522024367385,0.0358087927115033
AS Internet,random failure,ER,0.5399250234301781,0.2884301780693533,0.3523758200562324,-0.06394564198687913,0.03547311936412293
AS Internet,random failure,ER,0.5499531396438613,0.2795688847235239,0.3387582005623242,-0.05918931583880027,0.03454223640108004
AS Internet,random failure,ER,0.5599812558575445,0.267895970009372,0.3252155576382381,-0.05731958762886613,0.03587417755577485
AS Internet,random failure,ER,0.5699156513589503,0.2555201499531396,0.3116354264292408,-0.056115276476101206,0.03420085267695774
AS Internet,random failure,ER,0.5799437675726336,0.2453327085285848,0.2973805060918463,-0.0520477975632615,0.03571315730234596
AS Internet,random failure,ER,0.5899718837863168,0.2359700093720712,0.2833270852858481,-0.047357075913776914,0.036583751286827525
AS Internet,random failure,ER,0.6,0.2236176194939081,0.2679428303655108,-0.04432521087160271,0.03582943535170682
AS Internet,random failure,ER,0.6099343955014058,0.2138566073102155,0.2532755388940956,-0.0394189315838801,0.03557531023001691
AS Internet,random failure,ER,0.619962511715089,0.2052905342080599,0.2391049671977506,-0.033814432989690696,0.03399188799780962
AS Internet,random failure,ER,0.6299906279287723,0.195360824742268,0.2237394564198687,-0.028378631677600685,0.033454167166878115
AS Internet,random failure,ER,0.6399250234301781,0.1834676663542643,0.2077179006560449,-0.024250234301780582,0.028848031077625656
AS Internet,random failure,ER,0.6499531396438613,0.1745454545454545,0.1919962511715089,-0.017450796626054393,0.028381980416966168
AS Internet,random failure,ER,0.6599812558575445,0.1655998125585754,0.1755014058106841,-0.009901593252108709,0.02822233759781517
AS Internet,random failure,ER,0.6699156513589504,0.1573851921274602,0.1589222118088097,-0.0015370196813495052,0.028317216535465532
AS Internet,random failure,ER,0.6799437675726335,0.1490346766635426,0.1424039362699156,0.006630740393626988,0.02700789745577751
AS Internet,random failure,ER,0.6899718837863168,0.1377038425492033,0.1257778819119025,0.011925960637300781,0.0266609907314641
AS Internet,random failure,ER,0.7,0.1299812558575445,0.1099437675726335,0.020037488284911004,0.026575578436524902
AS Internet,random failure,ER,0.7099343955014058,0.1224789128397376,0.0917197750702905,0.030759137769447095,0.026283965821430114
AS Internet,random failure,ER,0.7199625117150891,0.1155857544517338,0.0713870665417057,0.04419868791002811,0.027667049541327874
AS Internet,random failure,ER,0.7299906279287722,0.1054123711340206,0.052825679475164,0.052586691658856606,0.02785703961780727
AS Internet,random failure,ER,0.7399250234301781,0.098767572633552,0.0371790065604498,0.0615885660731022,0.02634534690107569
AS Internet,random failure,ER,0.7499531396438613,0.0903139643861293,0.0282849109653233,0.062029053420806,0.023251443387666194
AS Internet,random failure,ER,0.7599812558575445,0.0841565135895033,0.0176101218369259,0.0665463917525774,0.021648863272446847
AS Internet,random failure,ER,0.7699156513589503,0.0785473289597001,0.0124554826616682,0.0660918462980319,0.020032652624443203
AS Internet,random failure,ER,0.7799437675726335,0.0717478912839737,0.0086691658856607,0.063078725398313,0.02014962565937758
AS Internet,random failure,ER,0.7899718837863168,0.0664995313964386,0.0068744142455482,0.0596251171508904,0.01854203954425513
AS Internet,random failure,ER,0.8,0.0609840674789128,0.0050281162136832,0.0559559512652296,0.01733464270893629
AS Internet,random failure,ER,0.8099343955014058,0.0547469540768509,0.0040253045923149,0.050721649484536,0.015285378412424121
AS Internet,random failure,ER,0.819962511715089,0.0484161199625117,0.0032427366447985,0.0451733833177132,0.0137030706872134
AS Internet,random failure,ER,0.8299906279287722,0.0417806935332708,0.0027600749765698,0.039020618556701005,0.01392672361488982
AS Internet,random failure,ER,0.839925023430178,0.0375117150890346,0.002460168697282,0.0350515463917526,0.01395937683374465
AS Internet,random failure,ER,0.8499531396438613,0.0325679475164011,0.0021602624179943,0.030407685098406804,0.012740432889801177
AS Internet,random failure,ER,0.8599812558575445,0.0275164011246485,0.0017057169634489,0.0258106841611996,0.012603258087358299
AS Internet,random failure,ER,0.8699156513589503,0.0236410496719775,0.0013823805060918,0.0222586691658857,0.01228659414779441
AS Internet,random failure,ER,0.8799437675726336,0.0205951265229615,0.0011621368322399,0.0194329896907216,0.01143470563667019
AS Internet,random failure,ER,0.8899718837863168,0.0178912839737582,0.0009090909090909,0.0169821930646673,0.010439494567643395
AS Internet,random failure,ER,0.9,0.0145548266166822,0.0008528584817244,0.0137019681349578,0.009421612267562962
AS Internet,random failure,ER,0.9099343955014058,0.0111715089034676,0.0007403936269915,0.0104311152764761,0.007302491533722886
AS Internet,random failure,ER,0.919962511715089,0.0088191190253045,0.0006279287722586,0.0081911902530459,0.006709643765984489
AS Internet,random failure,ER,0.9299906279287724,0.0063823805060918,0.0005435801312089,0.005838800374882901,0.004200162497119423
AS Internet,random failure,ER,0.939925023430178,0.0046766635426429,0.0004545454545454,0.0042221180880975,0.003264680668586437
AS Internet,random failure,ER,0.9499531396438612,0.003223992502343,0.0004264292408622,0.0027975632614808,0.0021414464969851253
AS Internet,random failure,ER,0.9599812558575446,0.0021508903467666,0.0003373945641986,0.0018134957825680002,0.0015456460671229553
AS Internet,random failure,ER,0.9699156513589504,0.0011012183692596,0.0002764761012183,0.0008247422680413,0.0009122015593460681
AS Internet,random failure,ER,0.9799437675726336,0.0005529522024367,0.0002202436738519,0.0003327085285848,0.00046689002545685686
AS Internet,random failure,ER,0.9899718837863168,0.000215557638238,0.0001827553889409,3.2802249297100015e-05,0.00022094049173614487
AS Internet,random failure,ER,1.0,0.0,0.0,0.0,0.0
AS Internet,degree-targeted attack,ER,0.0,1.0,0.9835988753514526,0.01640112464854737,0.0
AS Internet,degree-targeted attack,ER,0.0099343955014058,0.4221180880974695,0.9723523898781632,-0.5502343017806937,0.0
AS Internet,degree-targeted attack,ER,0.019962511715089,0.1967197750702905,0.9604498594189316,-0.7637300843486411,0.0
AS Internet,degree-targeted attack,ER,0.0299906279287722,0.0218369259606373,0.9473289597000936,-0.9254920337394563,0.0
AS Internet,degree-targeted attack,ER,0.039925023430178,0.0038425492033739,0.9339268978444236,-0.9300843486410497,0.0
AS Internet,degree-targeted attack,ER,0.0499531396438612,0.0022492970946579,0.9205248359887536,-0.9182755388940956,0.0
AS Internet,degree-targeted attack,ER,0.0599812558575445,0.0009372071227741,0.90796626054358,-0.9070290534208059,0.0
AS Internet,degree-targeted attack,ER,0.0699156513589503,0.0005623242736644,0.8949390815370197,-0.8943767572633553,0.0
AS Internet,degree-targeted attack,ER,0.0799437675726335,0.0005623242736644,0.8819119025304593,-0.8813495782567948,0.0
AS Internet,degree-targeted attack,ER,0.0899718837863167,0.0003748828491096,0.8679475164011247,-0.8675726335520151,0.0
AS Internet,degree-targeted attack,ER,0.1,0.0001874414245548,0.8552952202436739,-0.855107778819119,0.0
AS Internet,degree-targeted attack,ER,0.1099343955014058,0.0001874414245548,0.8400187441424555,-0.8398313027179006,0.0
AS Internet,degree-targeted attack,ER,0.119962511715089,0.0001874414245548,0.8247422680412371,-0.8245548266166822,0.0
AS Internet,degree-targeted attack,ER,0.1299906279287722,0.0001874414245548,0.8097469540768509,-0.8095595126522961,0.0
AS Internet,degree-targeted attack,ER,0.139925023430178,0.0001874414245548,0.792970946579194,-0.7927835051546391,0.0
AS Internet,degree-targeted attack,ER,0.1499531396438612,9.372071227741332e-05,0.7759137769447048,-0.7758200562324273,0.0
AS Internet,degree-targeted attack,ER,0.1599812558575445,9.372071227741332e-05,0.7591377694470478,-0.7590440487347704,0.0
AS Internet,degree-targeted attack,ER,0.1699156513589503,9.372071227741332e-05,0.7399250234301781,-0.7398313027179007,0.0
AS Internet,degree-targeted attack,ER,0.1799437675726335,9.372071227741332e-05,0.7188378631677601,-0.7187441424554827,0.0
AS Internet,degree-targeted attack,ER,0.1899718837863167,9.372071227741332e-05,0.6964386129334583,-0.6963448922211809,0.0
AS Internet,degree-targeted attack,ER,0.2,9.372071227741332e-05,0.6735707591377694,-0.673477038425492,0.0
AS Internet,degree-targeted attack,ER,0.2099343955014058,9.372071227741332e-05,0.6477975632614807,-0.6477038425492033,0.0
AS Internet,degree-targeted attack,ER,0.219962511715089,9.372071227741332e-05,0.6192127460168697,-0.6191190253045923,0.0
AS Internet,degree-targeted attack,ER,0.2299906279287722,9.372071227741332e-05,0.5668228678537957,-0.5667291471415182,0.0
AS Internet,degree-targeted attack,ER,0.239925023430178,9.372071227741332e-05,0.5215557638238051,-0.5214620431115277,0.0
AS Internet,degree-targeted attack,ER,0.2499531396438613,9.372071227741332e-05,0.4468603561387066,-0.4467666354264292,0.0
AS Internet,degree-targeted attack,ER,0.2599812558575445,9.372071227741332e-05,0.3397375820056232,-0.3396438612933458,0.0
AS Internet,degree-targeted attack,ER,0.2699156513589503,9.372071227741332e-05,0.2211808809746954,-0.22108716026241798,0.0
AS Internet,degree-targeted attack,ER,0.2799437675726335,9.372071227741332e-05,0.1149953139643861,-0.11490159325210869,0.0
AS Internet,degree-targeted attack,ER,0.2899718837863168,9.372071227741332e-05,0.0262417994376757,-0.026148078725398288,0.0
AS Internet,degree-targeted attack,ER,0.3,9.372071227741332e-05,0.0124648547328959,-0.012371134020618487,0.0
AS Internet,degree-targeted attack,ER,0.3099343955014058,9.372071227741332e-05,0.009090909090909,-0.008997188378631588,0.0
AS Internet,degree-targeted attack,ER,0.319962511715089,9.372071227741332e-05,0.0037488284910965,-0.0036551077788190864,0.0
AS Internet,degree-targeted attack,ER,0.3299906279287722,9.372071227741332e-05,0.0027179006560449,-0.0026241799437674864,0.0
AS Internet,degree-targeted attack,ER,0.339925023430178,9.372071227741332e-05,0.0016869728209934,-0.0015932521087159866,0.0
AS Internet,degree-targeted attack,ER,0.3499531396438612,9.372071227741332e-05,0.0012183692596063,-0.0011246485473288867,0.0
AS Internet,degree-targeted attack,ER,0.3599812558575445,9.372071227741332e-05,0.0009372071227741,-0.0008434864104966867,0.0
AS Internet,degree-targeted attack,ER,0.3699156513589503,9.372071227741332e-05,0.0008434864104967,-0.0007497656982192866,0.0
AS Internet,degree-targeted attack,ER,0.3799437675726335,9.372071227741332e-05,0.0008434864104967,-0.0007497656982192866,0.0
AS Internet,degree-targeted attack,ER,0.3899718837863167,9.372071227741332e-05,0.0008434864104967,-0.0007497656982192866,0.0
AS Internet,degree-targeted attack,ER,0.4,9.372071227741332e-05,0.0006560449859418,-0.0005623242736643867,0.0
AS Internet,degree-targeted attack,ER,0.4099343955014058,9.372071227741332e-05,0.0006560449859418,-0.0005623242736643867,0.0
AS Internet,degree-targeted attack,ER,0.419962511715089,9.372071227741332e-05,0.0005623242736644,-0.00046860356138698665,0.0
AS Internet,degree-targeted attack,ER,0.4299906279287722,9.372071227741332e-05,0.0003748828491096,-0.0002811621368321867,0.0
AS Internet,degree-targeted attack,ER,0.4399250234301781,9.372071227741332e-05,0.0003748828491096,-0.0002811621368321867,0.0
AS Internet,degree-targeted attack,ER,0.4499531396438613,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.4599812558575445,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.4699156513589503,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.4799437675726336,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.4899718837863168,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5099343955014058,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.519962511715089,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5299906279287723,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5399250234301781,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5499531396438613,9.372071227741332e-05,0.0001874414245548,-9.372071227738668e-05,0.0
AS Internet,degree-targeted attack,ER,0.5599812558575445,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.5699156513589503,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.5799437675726336,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.5899718837863168,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.6,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.6099343955014058,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
AS Internet,degree-targeted attack,ER,0.619962511715089,9.372071227741332e-05,9.372071227741332e-05,0.0,0.0
