network,strategy,null_model,fc_real,fc_null,delta_fc,delta_fc_std
AS Internet,random failure,ER,0.8214620431115277,0.7389550140581067,0.082507029053421,0.030521157941391316
AS Internet,degree-targeted attack,ER,0.0299906279287722,0.2899718837863168,-0.25998125585754456,0.0
WWW Notre Dame,random failure,ER,0.7484987520300618,0.8299997850974277,-0.08150103306736589,0.0142389382297456
WWW Notre Dame,degree-targeted attack,ER,0.0799990175882405,0.4299985570827282,-0.3499995394944877,0.0
AS Internet,random failure,BA,0.8214620431115277,0.7859559512652297,0.03550609184629805,0.03327513304569707
AS Internet,degree-targeted attack,BA,0.0299906279287722,0.1499531396438612,-0.119962511715089,0.0
WWW Notre Dame,random failure,BA,0.7484987520300618,0.840998805755705,-0.09250005372564318,0.014551486502164201
WWW Notre Dame,degree-targeted attack,BA,0.0799990175882405,0.2299979430753786,-0.1499989254871381,0.0
AS Internet,random failure,CM,0.8214620431115277,0.8029475164011245,0.018514526710403212,0.03484548780624515
AS Internet,degree-targeted attack,CM,0.0299906279287722,0.039925023430178,-0.009934395501405801,0.0
WWW Notre Dame,random failure,CM,0.7484987520300618,0.8479981825382449,-0.0994994305081831,0.014790013963591545
WWW Notre Dame,degree-targeted attack,CM,0.0799990175882405,0.1099994166930178,-0.030000399104777295,0.0
